Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
63,6,1108.64,2109.91,4,5.9,0
63,6,1108.64,2109.91,5,5.9,0
63,6,1108.64,2109.91,6,6,0
63,6,1108.64,2109.91,7,6,0
63,6,1108.64,2109.91,8,6,0
63,6,1108.64,2109.91,9,6.3,0
63,6,1108.64,2109.91,10,6.3,0
63,6,1108.64,2109.91,11,6.5,0
63,6,1108.64,2109.91,12,6.4,0
63,6,1108.64,2109.91,13,6.4,0
63,6,1108.64,2109.91,14,6.5,0
63,6,1108.64,2109.91,15,6.5,0
63,6,1108.64,2109.91,16,6.5,0
63,6,1108.64,2109.91,17,6.7,0
63,6,1108.64,2109.91,18,7.1,0
63,6,1108.64,2109.91,19,7.7,0
63,6,1108.64,2109.91,20,8,0
63,6,1108.64,2109.91,21,8,0
63,6,1108.64,2109.91,22,8.1,0
63,6,1108.64,2109.91,23,8.4,0
63,6,1108.64,2109.91,24,8.6,0
63,6,1108.64,2109.91,25,8.8,0
63,6,1108.64,2109.91,26,9.1,0
63,6,1108.64,2109.91,27,9.3,0
63,6,1108.64,2109.91,28,10.1,0
63,6,1108.64,2109.91,29,10.4,0
63,6,1108.64,2109.91,30,11,0
63,6,1108.64,2109.91,31,11,0
63,6,1108.64,2109.91,32,11.2,0
63,6,1108.64,2109.91,33,11.4,0
63,6,1108.64,2109.91,34,11.4,0
63,6,1108.64,2109.91,35,11.5,0
63,6,1108.64,2109.91,36,11.5,0
63,6,1108.64,2109.91,37,11.6,0
63,6,1108.64,2109.91,38,12,0
63,6,1108.64,2109.91,39,12.2,0
63,6,1108.64,2109.91,40,12.5,0
64,7,1232.56,2501.26,1,5.5,0
64,7,1232.56,2501.26,2,5.5,0
64,7,1232.56,2501.26,3,5.8,0
64,7,1232.56,2501.26,4,5.9,0
64,7,1232.56,2501.26,5,5.9,0
64,7,1232.56,2501.26,6,6,0
64,7,1232.56,2501.26,7,6,0
64,7,1232.56,2501.26,8,6,0
64,7,1232.56,2501.26,9,6.3,0
64,7,1232.56,2501.26,10,6.3,0
64,7,1232.56,2501.26,11,6.5,0
64,7,1232.56,2501.26,12,6.4,0
64,7,1232.56,2501.26,13,6.4,0
64,7,1232.56,2501.26,14,6.5,0
64,7,1232.56,2501.26,15,6.5,0
64,7,1232.56,2501.26,16,6.5,0
64,7,1232.56,2501.26,17,6.7,0
64,7,1232.56,2501.26,18,7.1,0
64,7,1232.56,2501.26,19,7.7,0
64,7,1232.56,2501.26,20,8,0
64,7,1232.56,2501.26,21,8,0
64,7,1232.56,2501.26,22,8.1,0
64,7,1232.56,2501.26,23,8.4,0
64,7,1232.56,2501.26,24,8.6,0
64,7,1232.56,2501.26,25,8.8,0
64,7,1232.56,2501.26,26,9.1,0
64,7,1232.56,2501.26,27,9.3,0
64,7,1232.56,2501.26,28,10.1,0
64,7,1232.56,2501.26,29,10.4,0
64,7,1232.56,2501.26,30,11,0
64,7,1232.56,2501.26,31,11,0
64,7,1232.56,2501.26,32,11.2,0
64,7,1232.56,2501.26,33,11.4,0
64,7,1232.56,2501.26,34,11.4,0
64,7,1232.56,2501.26,35,11.5,0
64,7,1232.56,2501.26,36,11.5,0
64,7,1232.56,2501.26,37,11.6,0
64,7,1232.56,2501.26,38,12,0
64,7,1232.56,2501.26,39,12.2,0
64,7,1232.56,2501.26,40,12.5,0
72,9,1118.94,2399.44,1,5.5,0
72,9,1118.94,2399.44,2,5.5,0
72,9,1118.94,2399.44,3,5.8,0
72,9,1118.94,2399.44,4,5.9,0
72,9,1118.94,2399.44,5,5.9,0
72,9,1118.94,2399.44,6,6,0
72,9,1118.94,2399.44,7,6,0
72,9,1118.94,2399.44,8,6,0
72,9,1118.94,2399.44,9,6.3,0
72,9,1118.94,2399.44,10,6.3,0
72,9,1118.94,2399.44,11,6.5,0
72,9,1118.94,2399.44,12,6.4,0
72,9,1118.94,2399.44,13,6.4,0
72,9,1118.94,2399.44,14,6.5,0
72,9,1118.94,2399.44,15,6.5,0
72,9,1118.94,2399.44,16,6.5,0
72,9,1118.94,2399.44,17,6.7,0
72,9,1118.94,2399.44,18,7.1,0
72,9,1118.94,2399.44,19,7.7,0
72,9,1118.94,2399.44,20,8,0
72,9,1118.94,2399.44,21,8,0
72,9,1118.94,2399.44,22,8.1,0
72,9,1118.94,2399.44,23,8.4,0
72,9,1118.94,2399.44,24,8.6,0
72,9,1118.94,2399.44,25,8.8,0
72,9,1118.94,2399.44,26,9.1,0
72,9,1118.94,2399.44,27,9.3,0
72,9,1118.94,2399.44,28,10.1,0
72,9,1118.94,2399.44,29,10.4,0
